 
 
 @relation Sittingmovements
@attribute MIN_GyroX numeric
@attribute MAX_GyroX numeric
@attribute Standard_deviation_GyroX numeric
@attribute Median_value_GyroX numeric
@attribute MIN_GyroY numeric
@attribute MAX_GyroY numeric
@attribute Standard_deviation_GyroY numeric
@attribute Median_value_GyroY numeric
@attribute MIN_GyroZ numeric
@attribute MAX_GyroZ numeric
@attribute Standard_deviation_GyroZ numeric
@attribute Median_value_GyroZ numeric
@attribute MIN_GyroX2 numeric
@attribute MAX_GyroX2 numeric
@attribute Standard_deviation_GyroX2 numeric
@attribute Median_value_GyroX2 numeric
@attribute MIN_GyroY2 numeric
@attribute MAX_GyroY2 numeric
@attribute Standard_deviation_GyroY2 numeric
@attribute Median_value_GyroY2 numeric
@attribute MIN_GyroZ2 numeric
@attribute MAX_GyroZ2 numeric
@attribute Standard_deviation_GyroZ2 numeric
@attribute Median_value_GyroZ2 numeric
@attribute MIN_AccelX numeric
@attribute MAX_AccelX numeric
@attribute Standard_deviation_AccelX numeric
@attribute Median_value_AccelX numeric
@attribute MIN_AccelY numeric
@attribute MAX_AccelY numeric
@attribute Standard_deviation_AccelY numeric
@attribute Median_value_AccelY numeric
@attribute MIN_AccelZ numeric
@attribute MAX_AccelZ numeric
@attribute Standard_deviation_AccelZ numeric
@attribute Median_value_AccelZ numeric
@attribute MIN_AccelX2 numeric
@attribute MAX_AccelX2 numeric
@attribute Standard_deviation_AccelX2 numeric
@attribute Median_value_AccelX2 numeric
@attribute MIN_AccelY2 numeric
@attribute MAX_AccelY2 numeric
@attribute Standard_deviation_AccelY2 numeric
@attribute Median_value_AccelY2 numeric
@attribute MIN_AccelZ2 numeric
@attribute MAX_AccelZ2 numeric
@attribute Standard_deviation_AccelZ2 numeric
@attribute Median_value_AccelZ2 numeric
@attribute class {FrontBack, FrontBack-unlocked, LeftRight, DoNothing, Spin, Roll_around, SitDown, StandUp}
@data 
 -0.56, 0.19, -0.011, 0.2392258347252654, -1.83, 0.36, -0.23100000000000004, 0.6913385567144363, 0.11, 1.94, 0.422, 0.5193996534461687, -0.11, 0.36, 0.129, 0.13758270240113762, -0.1, 0.3, 0.04, 0.1000999500499376, -0.1, 0.29, 0.003999999999999998, 0.10660206376989143, 0.0, 0.01, 0.001, 0.0029999999999999996, 0.0, 0.01, 0.004, 0.004898979485566357, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.0, -0.009, 0.0029999999999999996, -0.0, -0.0, 0.0, 0.0, SitDown
 -0.18, 0.18, 0.015000000000000003, 0.09510520490488415, -0.55, 0.35, -0.028000000000000014, 0.22767520725805876, 0.15, 0.88, 0.377, 0.22248820193439472, 0.12, 0.81, 0.338, 0.21390652163971066, -0.11, 0.15, 0.023, 0.079, -0.12, 0.29, 0.019999999999999997, 0.13213629327327145, -0.0, 0.01, 0.002, 0.004, 0.0, 0.01, 0.005, 0.005, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.0, -0.001, 0.003, SitDown
 -0.2, 0.07, -0.05700000000000001, 0.08283115355951529, -0.25, 0.14, -0.011999999999999995, 0.1193984924527944, -0.48, 2.3, 0.643, 0.7584728076866039, -0.48, 2.28, 0.599, 0.7552675022798213, -0.11, 0.17, 0.039999999999999994, 0.08637129152675674, -0.19, 0.23, -0.047, 0.11489560478973948, 0.0, 0.01, 0.002, 0.003999999999999999, 0.0, 0.01, 0.003, 0.0045825756949558405, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.0, -0.001, 0.0029999999999999996, SitDown
 -0.2, 0.07, -0.062, 0.06779380502671317, -0.16, 0.25, 0.063, 0.1161077086157504, -2.74, 2.85, 0.599, 1.6959861438113226, -2.7, 2.77, 0.561, 1.6659138633194694, -0.07, 0.28, 0.07500000000000001, 0.10268885041717042, -0.19, 0.02, -0.1, 0.06603029607687672, 0.0, 0.01, 0.004, 0.004898979485566357, 0.0, 0.01, 0.004, 0.004898979485566357, 1.0, 1.01, 1.001, 0.0030000000000000027, 1.0, 1.0, 1.0, 0.0, -0.01, -0.0, -0.007000000000000001, 0.0045825756949558405, -0.01, -0.0, -0.001, 0.0030000000000000005, SitDown
 -0.09, 0.61, 0.078, 0.23442696090680357, -0.16, 0.51, 0.121, 0.19506152875439073, -6.85, 2.85, -1.634, 2.8650731229760957, -6.78, 2.77, -1.623, 2.8020244467170516, -0.54, 0.28, -0.066, 0.23825196746302016, -0.19, 0.28, 0.053000000000000005, 0.16266837430797665, 0.0, 0.01, 0.007000000000000001, 0.0045825756949558405, 0.0, 0.02, 0.006, 0.0066332495807108005, 1.0, 1.01, 1.002, 0.0040000000000000036, 1.0, 1.0, 1.0, 0.0, -0.01, -0.0, -0.005, 0.005, -0.01, -0.0, -0.003, 0.0045825756949558405, SitDown
 -5.49, 0.61, -0.7849999999999999, 1.6609409983500316, -7.54, 6.52, 0.841, 3.6013537732358367, -9.06, 15.94, -1.0559999999999996, 7.899671132395322, -8.01, 17.67, 0.053000000000000116, 8.527196549863266, -0.54, 1.62, 0.27, 0.7426439254447585, -0.86, 0.74, -0.10400000000000001, 0.5150184462715874, -0.02, 0.02, 0.004, 0.011999999999999999, -0.05, 0.02, -0.005, 0.02376972864800943, 0.99, 1.01, 1.003, 0.006403124237432853, 0.98, 1.02, 1.001, 0.01044030650891056, -0.07, 0.01, -0.016, 0.025377155080899043, -0.01, 0.03, 0.003, 0.012688577540449521, SitDown
 -5.49, 1.77, -0.273, 2.0178208542881104, -7.54, 6.52, 1.8400000000000003, 3.837043132413291, -13.99, 15.94, -2.7410000000000005, 9.498730915232834, -13.52, 17.67, -1.4680000000000004, 10.113204042241016, -1.84, 1.62, -0.06299999999999999, 1.1041381254172866, -3.36, 1.39, -0.37399999999999994, 1.2399612897183523, -0.07, 0.02, -0.026000000000000002, 0.032310988842807024, -0.05, 0.07, -9.999999999999996E-4, 0.03726929030716845, 0.99, 1.02, 1.003, 0.0100498756211209, 0.98, 1.02, 1.003, 0.011874342087037928, -0.07, 0.05, -0.009, 0.037, -0.06, 0.03, 9.999999999999992E-4, 0.026248809496813373, SitDown
 0.17, 1.77, 0.752, 0.553277507223997, -0.18, 6.18, 1.0880000000000003, 1.8227276263885397, -13.99, 2.78, -5.236, 4.664337466350393, -13.52, 3.38, -5.156, 4.552002196836025, -1.84, 0.19, -0.6779999999999999, 0.6037184774379528, -3.36, 1.39, -0.23800000000000004, 1.198438984679654, -0.08, -0.03, -0.06200000000000001, 0.01469693845669907, -0.03, 0.07, 0.016000000000000004, 0.029393876913398134, 0.99, 1.02, 1.001, 0.008306623862918083, 0.99, 1.01, 0.999, 0.008306623862918083, -0.04, 0.05, 0.004, 0.024979991993593593, -0.06, 0.03, -0.014000000000000002, 0.024979991993593596, SitDown
 -0.0, 0.46, 0.16999999999999998, 0.12782800945019834, -0.18, 0.51, 0.08900000000000001, 0.18085629654507468, -5.3, 0.35, -1.9449999999999998, 1.9075285056847775, -5.64, 0.1, -2.1839999999999997, 1.9205738725703834, -0.81, 0.19, -0.259, 0.3486961427948409, -0.53, 0.36, -0.06500000000000002, 0.2592392717163046, -0.08, -0.06, -0.07000000000000002, 0.004472135954999581, 0.0, 0.04, 0.009999999999999998, 0.01341640786499874, 1.0, 1.0, 1.0, 0.0, 0.99, 1.0, 0.9969999999999999, 0.004582575694955844, -0.02, 0.01, -0.002, 0.008717797887081349, -0.04, -0.0, -0.013999999999999999, 0.011135528725660045, SitDown
 -0.08, 0.14, 0.018, 0.06660330322138686, 0.06, 0.14, 0.10499999999999998, 0.02655183609470351, -3.04, 1.62, 0.131, 1.1553826206066975, -3.25, 1.4, -0.11600000000000006, 1.1482700030916075, -0.23, 0.17, 0.0040000000000000036, 0.13298120167903432, -0.07, 0.13, -0.001999999999999999, 0.058787753826796275, -0.08, -0.07, -0.07200000000000001, 0.0039999999999999975, -0.0, 0.01, 0.002, 0.004, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, 0.0, -0.002, 0.003999999999999998, -0.01, -0.0, -0.007000000000000001, 0.0045825756949558405, SitDown
