 @relation Sittingmovements
@attribute MIN_GyroX numeric
@attribute MAX_GyroX numeric
@attribute Standard_deviation_GyroX numeric
@attribute Median_value_GyroX numeric
@attribute MIN_GyroY numeric
@attribute MAX_GyroY numeric
@attribute Standard_deviation_GyroY numeric
@attribute Median_value_GyroY numeric
@attribute MIN_GyroZ numeric
@attribute MAX_GyroZ numeric
@attribute Standard_deviation_GyroZ numeric
@attribute Median_value_GyroZ numeric
@attribute MIN_GyroX2 numeric
@attribute MAX_GyroX2 numeric
@attribute Standard_deviation_GyroX2 numeric
@attribute Median_value_GyroX2 numeric
@attribute MIN_GyroY2 numeric
@attribute MAX_GyroY2 numeric
@attribute Standard_deviation_GyroY2 numeric
@attribute Median_value_GyroY2 numeric
@attribute MIN_GyroZ2 numeric
@attribute MAX_GyroZ2 numeric
@attribute Standard_deviation_GyroZ2 numeric
@attribute Median_value_GyroZ2 numeric
@attribute MIN_AccelX numeric
@attribute MAX_AccelX numeric
@attribute Standard_deviation_AccelX numeric
@attribute Median_value_AccelX numeric
@attribute MIN_AccelY numeric
@attribute MAX_AccelY numeric
@attribute Standard_deviation_AccelY numeric
@attribute Median_value_AccelY numeric
@attribute MIN_AccelZ numeric
@attribute MAX_AccelZ numeric
@attribute Standard_deviation_AccelZ numeric
@attribute Median_value_AccelZ numeric
@attribute MIN_AccelX2 numeric
@attribute MAX_AccelX2 numeric
@attribute Standard_deviation_AccelX2 numeric
@attribute Median_value_AccelX2 numeric
@attribute MIN_AccelY2 numeric
@attribute MAX_AccelY2 numeric
@attribute Standard_deviation_AccelY2 numeric
@attribute Median_value_AccelY2 numeric
@attribute MIN_AccelZ2 numeric
@attribute MAX_AccelZ2 numeric
@attribute Standard_deviation_AccelZ2 numeric
@attribute Median_value_AccelZ2 numeric
@attribute class {FrontBack, FrontBack-unlocked, LeftRight, DoNothing, Spin, Roll_around, SitDown, StandUp}
@data
 -0.01, 0.04, 0.012, 0.01661324772583615, -0.01, 0.08, 0.029000000000000005, 0.029137604568666934, -0.02, 0.02, 0.0019999999999999996, 0.013266499161421601, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.01, 0.04, 0.017, 0.015524174696260024, -0.02, 0.08, 0.022000000000000002, 0.03218695387886216, -0.01, 0.03, 0.009999999999999998, 0.009999999999999998, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 0.0, 0.04, 0.018, 0.013266499161421601, -0.02, 0.08, 0.033999999999999996, 0.03039736830714133, -0.01, 0.03, 0.007000000000000001, 0.01268857754044952, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.02, 0.007000000000000001, 0.012688577540449521, 0.0, 0.08, 0.027000000000000003, 0.02491987158875423, -0.01, 0.02, 0.005, 0.011180339887498947, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.02, 0.0037500000000000003, 0.014086784586980807, -0.04, 0.05, 0.009374999999999998, 0.022211694554896078, -0.02, 0.02, 0.00125, 0.011659223816361019, -0.01, -0.01, -0.01, 0.0, -0.01, -0.01, -0.01, 0.0, -0.01, -0.01, -0.01, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.03, 0.003999999999999999, 0.013564659966250536, -0.05, 0.03, -0.004000000000000001, 0.02615339366124404, -0.01, 0.03, 0.006, 0.01019803902718557, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.01, 0.04, 0.012, 0.01661324772583615, -0.05, 0.07, 0.02, 0.030000000000000002, -0.01, 0.03, 0.004999999999999999, 0.01284523257866513, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.01, 0.04, 0.005, 0.016278820596099707, -0.04, 0.05, 0.009999999999999998, 0.02529822128134704, -0.03, 0.03, 0.003, 0.016155494421403512, -0.01, -0.0, -0.009, 0.0029999999999999996, -0.01, -0.0, -0.009, 0.0029999999999999996, -0.01, -0.0, -0.009, 0.0029999999999999996, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.65, 1.0, 0.9470000000000001, 0.10517128885774861, 0.65, 1.0, 0.9470000000000001, 0.10517128885774861, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.05, 0.02, -0.011, 0.021656407827707717, -0.09, 0.02, -0.013999999999999999, 0.03527038417709679, -0.02, 0.01, -0.006, 0.010198039027185569, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.05, 0.02, -0.016, 0.02009975124224178, -0.09, 0.06, -0.013000000000000001, 0.03950949253027682, -0.02, -0.0, -0.013000000000000001, 0.006403124237432849, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.03, 0.02, -0.0020000000000000005, 0.014696938456699069, -0.02, 0.06, 0.015, 0.027658633371878665, -0.02, 0.01, -0.008, 0.0116619037896906, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.01, 0.03, 0.008, 0.014000000000000002, -0.02, 0.07, 0.020999999999999998, 0.02913760456866693, -0.03, 0.02, -0.0010000000000000002, 0.016401219466856725, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.04, 0.006999999999999999, 0.020518284528683192, -0.01, 0.08, 0.034, 0.030066592756745815, -0.04, 0.02, -0.006, 0.01854723699099141, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.04, 0.003, 0.016763054614240207, -0.01, 0.08, 0.033, 0.02758622844826744, -0.04, 0.03, -0.003, 0.019519221295943134, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
